The Matrix Theme	Matrix, The	data/matrix.abc	Ratissia
Bolero	Maurice Ravel	data/maubol.abc	Thorsongori
I Would Do Anything For Love	Meatloaf	data/meaiwo.abc	Gothbat
Hijo de la Luna	Mecano	data/mechij.abc	Thelodin/Alisone
Dr. Wily - Stage 1	Mega Man	data/megwil.abc	Tarekion(Spiritbx)
A Toute Le Monde	Megadeth	data/megato.abc	Wraithsong
Symphony of Destruction	Megadeth	data/megsymp.abc	Krovax
Symphony of Destruction	Megadeth	data/megsym.abc	Ducksey
Do you Come From a Land Down Under?	Men at Work	data/mendoy.abc	Prosco
I Can Only Imagine	Mercy Me	data/merica.abc	Cyrano
Am I Evil?	Metallica	data/metami.abc	Ducksey
Anesthesia (Pulling Teeth)	Metallica	data/metanes.abc	Wraithsong
Anesthesia (Pulling Teeth)	Metallica	data/metane.abc	Genwen
Enter Sandman	Metallica	data/metent.abc	Tiamo/Skjald
Fade to Black	Metallica	data/metfad.abc	Cervantes
Fade to Black	Metallica	data/metfade.abc	Gothbat
King Nothing	Metallica	data/metkin.abc	Illyrean
Master of Puppets	Metallica	data/metmas.abc	Illyrean
Nothing Else Matters	Metallica	data/metnoth.abc	Bungee
One	Metallica	data/metone.abc	Bungee
Orion	Metallica	data/metori.abc	Wraithsong
Sad But True	Metallica	data/metsad.abc	Amaysn
The Outlaw Torn	Metallica	data/metout.abc	Gothbat
